,스킬 ID,분류,레벨,설명,값_01,값_02,값_03
132003013,1310031,1,13,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,150,0,0
132003014,1310031,1,14,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,160,0,0
132003015,1310031,1,15,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,170,0,0
132004001,1310041,1,1,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,30,0,0
132004002,1310041,1,2,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,40,0,0
132004003,1310041,1,3,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,50,0,0
132004004,1310041,1,4,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,60,0,0
132004005,1310041,1,5,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,70,0,0
132004006,1310041,1,6,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,80,0,0
132004007,1310041,1,7,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,90,0,0
132004008,1310041,1,8,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,100,0,0
132004009,1310041,1,9,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,110,0,0
132004010,1310041,1,10,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,120,0,0
132004011,1310041,1,11,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,130,0,0
132004012,1310041,1,12,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,140,0,0
132004013,1310041,1,13,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,150,0,0
132004014,1310041,1,14,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,160,0,0
132004015,1310041,1,15,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,170,0,0
132005001,1310051,1,1,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,30,0,0
132005002,1310051,1,2,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,40,0,0
132005003,1310051,1,3,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,50,0,0
132005004,1310051,1,4,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,60,0,0
132005005,1310051,1,5,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,70,0,0
132005006,1310051,1,6,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,80,0,0
132005007,1310051,1,7,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,90,0,0
132005008,1310051,1,8,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,100,0,0
132005009,1310051,1,9,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,110,0,0
132005010,1310051,1,10,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,120,0,0
132005011,1310051,1,11,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,130,0,0
132005012,1310051,1,12,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,140,0,0
132005013,1310051,1,13,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,150,0,0
132005014,1310051,1,14,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,160,0,0
132005015,1310051,1,15,파동을 발사합니다. 파동이 이동하는 경로상의 모든 적에게 공격력의 {N_01}% 피해를 입힙니다.,170,0,0
